id,survey_id,date_start,location_id,entered_sref,entered_sref_system,created_on,created_by_id,LATITUDE,LONGITUDE,monad,monadCRS,country
1929474,154,01/09/2016,146628,J2738522698,OSIE,08:41.0,95882,54.13744274,-6.050696441,J2722,OSIE,Northern_Ireland
1929182,154,01/09/2016,146625,J2717622182,OSIE,12:26.0,95882,54.13286092,-6.05410987,J2722,OSIE,Northern_Ireland
2015440,154,30/09/2016,164520,J4226336153,OSIE,40:52.0,87017,54.25434622,-5.816839448,J4236,OSIE,Northern_Ireland
2015442,154,30/09/2016,164519,J4216536315,OSIE,46:57.0,87017,54.25582791,-5.818265332,J4236,OSIE,Northern_Ireland
2015446,154,30/09/2016,164518,J4232336423,OSIE,52:09.0,87017,54.25675367,-5.815791276,J4236,OSIE,Northern_Ireland
2015602,154,30/09/2016,164517,J4248636645,OSIE,16:27.0,87017,54.2587015,-5.813186254,J4236,OSIE,Northern_Ireland
2015615,154,30/09/2016,164508,J4237536648,OSIE,18:34.0,87017,54.25875931,-5.814887032,J4236,OSIE,Northern_Ireland
2015661,154,01/07/2016,164522,J4410735363,OSIE,36:30.0,87017,54.246738,-5.788944347,J4435,OSIE,Northern_Ireland
2015662,154,30/09/2016,164522,J4410735363,OSIE,39:28.0,87017,54.246738,-5.788944347,J4435,OSIE,Northern_Ireland
2015696,154,01/07/2016,164523,J4424935317,OSIE,53:43.0,87017,54.24628505,-5.786789541,J4435,OSIE,Northern_Ireland
2015699,154,30/09/2016,164523,J4424935317,OSIE,59:20.0,87017,54.24628505,-5.786789541,J4435,OSIE,Northern_Ireland
2015861,154,01/07/2016,164524,J4439035595,OSIE,09:29.0,87017,54.24874122,-5.78449417,J4435,OSIE,Northern_Ireland
2015863,154,01/07/2016,164524,J4439035595,OSIE,10:51.0,87017,54.24874122,-5.78449417,J4435,OSIE,Northern_Ireland
2015890,154,01/07/2016,164525,J4440935506,OSIE,14:48.0,87017,54.24793682,-5.784245723,J4435,OSIE,Northern_Ireland
2015898,154,01/07/2016,164525,J4440935506,OSIE,15:25.0,87017,54.24793682,-5.784245723,J4435,OSIE,Northern_Ireland
2016010,154,13/06/2016,164529,J5355254344,OSIE,44:37.0,87017,54.4143866,-5.634396172,J5354,OSIE,Northern_Ireland
2016026,154,13/06/2016,164530,J5335054309,OSIE,47:38.0,87017,54.41413329,-5.637523291,J5354,OSIE,Northern_Ireland
2016038,154,13/06/2016,164531,J5339954439,OSIE,50:12.0,87017,54.41528552,-5.636701966,J5354,OSIE,Northern_Ireland
2016063,154,13/06/2016,164532,J5338854613,OSIE,53:26.0,87017,54.41685081,-5.636781387,J5354,OSIE,Northern_Ireland
2016077,154,13/06/2016,164533,J5345154831,OSIE,57:47.0,87017,54.41878878,-5.635699003,J5354,OSIE,Northern_Ireland
2018936,154,08/09/2016,164544,H8794887571,OSIE,31:36.0,95882,54.72838666,-6.634708108,H8787,OSIE,Northern_Ireland
2019199,154,08/09/2016,164547,H8783087640,OSIE,18:30.0,95882,54.72902699,-6.636518527,H8787,OSIE,Northern_Ireland
2052729,154,27/09/2016,165076,D3082504228,OSIE,59:46.0,95882,54.86861986,-5.961972294,D3004,OSIE,Northern_Ireland
2052735,154,27/09/2016,165068,D3006604399,OSIE,04:30.0,95882,54.87035287,-5.973710879,D3004,OSIE,Northern_Ireland
2052751,154,27/09/2016,165071,D3007804426,OSIE,14:39.0,95882,54.87059217,-5.973511899,D3004,OSIE,Northern_Ireland
2091324,154,15/09/2016,165669,H4690431357,OSIE,33:39.0,95882,54.22887745,-7.280700878,H4631,OSIE,Northern_Ireland
2091345,154,15/09/2016,165670,H4656431430,OSIE,52:02.0,95882,54.22956429,-7.285903143,H4631,OSIE,Northern_Ireland
2091369,154,15/09/2016,165671,H4666631773,OSIE,05:25.0,95882,54.23263655,-7.28428573,H4631,OSIE,Northern_Ireland
2091404,154,15/09/2016,165672,H4666331788,OSIE,10:43.0,95882,54.23277158,-7.284329405,H4631,OSIE,Northern_Ireland
2103550,154,27/09/2016,165071,D3007804426,OSIE,19:41.0,128464,54.87059217,-5.973511899,D3004,OSIE,Northern_Ireland
2103577,154,27/09/2016,165076,D3082504228,OSIE,08:48.0,128464,54.86861986,-5.961972294,D3004,OSIE,Northern_Ireland
2122774,154,24/08/2016,166052,H3350768898,OSIE,51:55.0,95882,54.56720297,-7.481905453,H3368,OSIE,Northern_Ireland
1865047,154,09/08/2016,146624,J2719025653,OSIE,55:01.0,95882,54.16402604,-6.052432949,J2725,OSIE,Northern_Ireland
1865544,154,09/08/2016,146622,J2705525833,OSIE,37:36.0,95882,54.16567579,-6.054422923,J2725,OSIE,Northern_Ireland
1867777,154,09/08/2016,146620,J2724425311,OSIE,37:01.0,95882,54.16094162,-6.051750938,J2725,OSIE,Northern_Ireland
1929445,154,01/09/2016,146626,J2727222147,OSIE,59:52.0,95882,54.13252289,-6.052656686,J2722,OSIE,Northern_Ireland
1928984,154,01/09/2016,146627,J2752122778,OSIE,25:02.0,95882,54.13812741,-6.048582866,J2722,OSIE,Northern_Ireland
2122749,154,24/08/2016,166051,H3396468366,OSIE,40:41.0,95882,54.56239307,-7.474901047,H3368,OSIE,Northern_Ireland
2122709,154,24/08/2016,166050,H3378268494,OSIE,12:29.0,95882,54.56355519,-7.477699981,H3368,OSIE,Northern_Ireland
2122701,154,25/08/2016,166049,H3342468554,OSIE,52:28.0,95882,54.56411799,-7.483227832,H3368,OSIE,Northern_Ireland
2474241,154,24/05/2017,179036,J4839897134,OSIE,14:23.0,133430,54.80004049,-5.692086866,J4897,OSIE,Northern_Ireland
2477084,154,24/05/2017,179038,J4841397147,OSIE,13:38.0,133430,54.80015275,-5.691847141,J4897,OSIE,Northern_Ireland
